																																				Mean						Mean																									
	Constant-rate spraying																	Variable-rate spraying																			Constant-rate spraying		Variable-rate spraying				Constant-rate spraying			Variable-rate spraying				Constant-rate spraying										Variable-rate spraying							
		Spray Deposit (μm cm^-2)					Spray Deposit (stains cm^-2)						Spray Coverage (%)						Spray Deposit (μm cm^-2)					Spray Deposit (stains cm^-2)					Spray Coverage (%)								Spray Deposit (stains cm^-2)	Spray Coverage (%)	Spray Deposit (stains cm^-2)	Spray Coverage (%)				Spray Deposit (μm cm^-2)			Spray Deposit (μm cm^-2)				Spray Deposit (stains cm^-2)					Spray Coverage (%)				Spray Deposit (stains cm^-2)				Spray Coverage (%)			
		P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean			P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean	P1	P2	P3	P4	Mean																		P1	P2	P3	P4	P1	P2	P3	P4		P1	P2	P3	P4	P1	P2	P3	P4
A1	Top	0.841	1.189	1.006	0.916	0.988	103	61	75	108	86.75	19.63	40.46	36.63	20.93	29.4125		Top	0.501	0.524	0.507	0.516	0.512	68	55	67	65	63.75	12.93	12.46	13.46	11.93	12.695		A1	Top	86.75	29.4125	63.75	12.695		A1	Top	0.988	A1	Top	0.512		A1	Top	103	61	75	108	19.63	40.46	36.63	20.93		68	55	67	65	12.93	12.46	13.46	11.93
	Middle	0.321	0.645	0.745	0.525	0.559	61	74	88	62	71.25	14.87	14.67	14.41	15.07	14.755		Middle	0.325	0.326	0.345	0.345	0.33525	48	35	52	34	42.25	10.07	9.67	10.67	9.07	9.87			Middle	71.25	14.755	42.25	9.87			Middle	0.559		Middle	0.33525			Middle	61	74	88	62	14.87	14.67	14.41	15.07		48	35	52	34	10.07	9.67	10.67	9.07
	Left	0.455	0.635	0.765	0.325	0.545	54	72	89	51	66.5	12.83	10.63	12.62	13.03	12.2775		Left	0.324	0.387	0.391	0.365	0.36675	41	39	37	36	38.25	9.53	9.93	9.63	9.53	9.655			Left	66.5	12.2775	38.25	9.655			Left	0.545		Left	0.36675			Left	54	72	89	51	12.83	10.63	12.62	13.03		41	39	37	36	9.53	9.93	9.63	9.53
	Right	0.465	0.665	0.685	0.465	0.57	63	78	77	64	70.5	12.45	11.25	13.49	13.65	12.71		Right	0.365	0.398	0.365	0.385	0.37825	47	59	39	38	45.75	9.65	10.25	9.25	9.64	9.6975			Right	70.5	12.71	45.75	9.6975			Right	0.57		Right	0.37825			Right	63	78	77	64	12.45	11.25	13.49	13.65		47	59	39	38	9.65	10.25	9.25	9.64
	Bottom	0.345	0.345	0.335	0.312	0.33425	32	35	30	33	32.5	7.56	7.06	7.36	7.66	7.41		Bottom	0.245	0.215	0.228	0.235	0.23075	28	21	20	28	24.25	6.66	5.26	5.21	5.86	5.7475			Bottom	32.5	7.41	24.25	5.7475			Bottom	0.33425		Bottom	0.23075			Bottom	32	35	30	33	7.56	7.06	7.36	7.66		28	21	20	28	6.66	5.26	5.21	5.86
A2	Top	1.563	1.179	0.939	0.609	1.0725	63	70	114	65	78	35.99	30.19	23.16	13.17	25.6275		Top	0.579	0.526	0.519	0.539	0.54075	58	65	53	53	57.25	11.17	12.19	11.57	11.97	11.725		A2	Top	78	25.6275	57.25	11.725		A2	Top	1.0725	A2	Top	0.54075		A2	Top	63	70	114	65	35.99	30.19	23.16	13.17		58	65	53	53	11.17	12.19	11.57	11.97
	Middle	0.413	0.765	0.555	0.265	0.4995	47	77	65	28	54.25	12.63	13.95	10.61	7.83	11.255		Middle	0.365	0.345	0.305	0.355	0.3425	38	36	34	35	35.75	8.83	9.95	9.95	8.93	9.415			Middle	54.25	11.255	35.75	9.415			Middle	0.4995		Middle	0.3425			Middle	47	77	65	28	12.63	13.95	10.61	7.83		38	36	34	35	8.83	9.95	9.95	8.93
	Left	0.546	0.666	0.586	0.266	0.516	62	72	71	30	58.75	13.32	14.22	13.52	6.32	11.845		Left	0.366	0.316	0.356	0.386	0.356	42	41	35	37	38.75	9.32	9.22	9.22	10.02	9.445			Left	58.75	11.845	38.75	9.445			Left	0.516		Left	0.356			Left	62	72	71	30	13.32	14.22	13.52	6.32		42	41	35	37	9.32	9.22	9.22	10.02
	Right	0.443	0.693	0.473	0.243	0.463	50	84	62	26	55.5	13.78	14.58	12.69	6.98	12.0075		Right	0.343	0.343	0.327	0.373	0.3465	46	39	32	40	39.25	8.98	9.58	9.58	9.68	9.455			Right	55.5	12.0075	39.25	9.455			Right	0.463		Right	0.3465			Right	50	84	62	26	13.78	14.58	12.69	6.98		46	39	32	40	8.98	9.58	9.58	9.68
	Bottom	0.391	0.371	0.301	0.141	0.301	37	35	31	12	28.75	8.17	8.67	8.56	4.87	7.5675		Bottom	0.261	0.254	0.217	0.201	0.23325	22	25	28	20	23.75	5.87	6.17	6.45	5.67	6.04			Bottom	28.75	7.5675	23.75	6.04			Bottom	0.301		Bottom	0.23325			Bottom	37	35	31	12	8.17	8.67	8.56	4.87		22	25	28	20	5.87	6.17	6.45	5.67
A3	Top	0.682	0.913	1.146	1.213	0.9885	72	88	68	83	77.75	33.89	24.43	29.89	35.93	31.035		Top	0.513	0.64	0.586	0.546	0.57125	83	71	68	55	69.25	12.93	12.43	12.43	11.86	12.4125		A3	Top	77.75	31.035	69.25	12.4125		A3	Top	0.9885	A3	Top	0.57125		A3	Top	72	88	68	83	33.89	24.43	29.89	35.93		83	71	68	55	12.93	12.43	12.43	11.86
	Middle	0.454	0.464	0.424	0.464	0.4515	41	47	45	58	47.75	10.48	10.28	10.52	11.61	10.7225		Middle	0.264	0.222	0.264	0.224	0.2435	28	27	35	32	30.5	7.61	7.28	8.28	8.88	8.0125			Middle	47.75	10.7225	30.5	8.0125			Middle	0.4515		Middle	0.2435			Middle	41	47	45	58	10.48	10.28	10.52	11.61		28	27	35	32	7.61	7.28	8.28	8.88
	Left	0.312	0.471	0.416	0.471	0.4175	39	53	41	54	46.75	8.02	10.82	10.62	12.21	10.4175		Left	0.271	0.271	0.227	0.216	0.24625	32	33	31	32	32	7.21	8.82	8.82	7.19	8.01			Left	46.75	10.4175	32	8.01			Left	0.4175		Left	0.24625			Left	39	53	41	54	8.02	10.82	10.62	12.21		32	33	31	32	7.21	8.82	8.82	7.19
	Right	0.381	0.411	0.481	0.411	0.421	37	36	49	43	41.25	12.98	8.98	11.98	11.18	11.28		Right	0.212	0.207	0.291	0.281	0.24775	30	26	29	36	30.25	8.18	6.98	8.98	7.18	7.83			Right	41.25	11.28	30.25	7.83			Right	0.421		Right	0.24775			Right	37	36	49	43	12.98	8.98	11.98	11.18		30	26	29	36	8.18	6.98	8.98	7.18
	Bottom	0.225	0.235	0.175	0.135	0.1925	24	17	25	14	20	7.44	7.48	6.41	5.64	6.7425		Bottom	0.135	0.144	0.141	0.175	0.14875	13	14	15	17	14.75	4.64	5.23	5.44	5.74	5.2625			Bottom	20	6.7425	14.75	5.2625			Bottom	0.1925		Bottom	0.14875			Bottom	24	17	25	14	7.44	7.48	6.41	5.64		13	14	15	17	4.64	5.23	5.44	5.74
A4	Top	0.801	0.825	0.765	0.842	0.80825	90	85	81	96	88	15.81	17.61	14.61	15.01	15.76		Top	0.525	0.571	0.595	0.565	0.564	78	62	61	61	65.5	13.01	11.81	11.61	12.11	12.135		A4	Top	88	15.76	65.5	12.135		A4	Top	0.80825	A4	Top	0.564		A4	Top	90	85	81	96	15.81	17.61	14.61	15.01		78	62	61	61	13.01	11.81	11.61	12.11
	Middle	0.471	0.351	0.421	0.413	0.414	52	40	47	42	45.25	11.89	11.79	10.82	11.19	11.4225		Middle	0.351	0.346	0.384	0.321	0.3505	48	36	40	42	41.5	10.19	7.79	8.79	9.89	9.165			Middle	45.25	11.4225	41.5	9.165			Middle	0.414		Middle	0.3505			Middle	52	40	47	42	11.89	11.79	10.82	11.19		48	36	40	42	10.19	7.79	8.79	9.89
	Left	0.446	0.454	0.451	0.422	0.44325	47	39	49	44	44.75	11.01	10.88	11.41	10.21	10.8775		Left	0.413	0.387	0.326	0.351	0.36925	50	39	43	42	43.5	10.21	8.81	9.88	10.21	9.7775			Left	44.75	10.8775	43.5	9.7775			Left	0.44325		Left	0.36925			Left	47	39	49	44	11.01	10.88	11.41	10.21		50	39	43	42	10.21	8.81	9.88	10.21
